動畫名稱,集數
咒術迴戰 第二季,共14集
葬送的芙莉蓮,共8集
我想成為影之強者！第二季,共4集
香格里拉・開拓異境～糞作獵手挑戰神作～,共5集
SPY x FAMILY 間諜家家酒 Season 2,共4集
獵人 Hunter x Hunter,共148集
我想成為影之強者！,共20集
勇者赫魯庫,共16集
黑暗集會,共17集
不死不運,共4集
哥布林殺手 II,共4集
聖劍學院的魔劍使,共5集
暴食狂戰士,共5集
家裡蹲吸血姬的鬱悶,共4集
燃油車鬥魂,共5集
BLEACH 死神 千年血戰篇-訣別譚-,共13集
名偵探柯南,共683集
咒術迴戰,共24集
烏龍派出所,共341集
想當冒險者前往都市的女兒成為 S 級,共5集
狩龍人拉格納,共5集
其實，我是最強的？,共12集
能幹貓今天也憂鬱,共13集
屍體如山的死亡遊戲,共16集
盾之勇者成名錄 Season 3,共4集
SPY×FAMILY 間諜家家酒,共25集
百姓貴族,共12集
重生者的魔法一定要特別,共4集
Dr.STONE 新石紀 第三季,共14集
無職轉生～到了異世界就拿出真本事 第二季,共13集
堤亞穆帝國物語～從斷頭台開始，公主重生後的逆轉人生～,共4集
某大叔的 VRMMO 活動記,共5集
米奇與達利,共5集
破滅的王國,共4集
位於戀愛光譜極端的我們,共4集
超超超超超喜歡你的 100 個女朋友,共4集
撿走被人悔婚的千金，教會她壞壞的幸福生活,共4集
豬肝記得煮熟再吃,共4集
七魔劍支配天下,共15集
我的推是壞人大小姐。,共5集
鴨乃橋論的禁忌推理,共5集
神劍闖江湖 ―明治劍客浪漫譚―,共17集
16bit 的感動 ANOTHER LAYER,共4集
堀與宮村 -piece-,共13集
凹凸魔女的親子日常,共5集
女朋友 and 女朋友 第二季,共4集
賽馬娘 Pretty Derby 第三季,共4集
聖女魔力無所不能 第二季,共4集
我的新上司是天然呆,共4集
魔法使的新娘 第二季,共16集
地下忍者,共4集
不死少女的謀殺鬧劇,共13集
世界盡頭的聖騎士 鐵鏽之山的君王,共4集
雖然等級只有 1 級但固有技能是最強的,共12集
殭屍 100～在成為殭屍前要做的 100 件事～,共9集
魔王學院的不適任者～史上最強的魔王始祖，轉生就讀子孫們的學校～第二季,共12集
BanG Dream! It's MyGO!!!!!,共13集
無職轉生，到了異世界就拿出真本事,共24集
哥布林殺手,共13集
排球少年！！,共25集
白聖女與黑牧師,共12集
擁有超常技能的異世界流浪美食家,共12集
排球少年！！第二季,共25集
【我推的孩子】,共11集
大小姐和看門犬,共5集
盾之勇者成名錄,共25集
星靈感應,共4集
聖女魔力無所不能,共12集
火影忍者,共220集
孤獨搖滾！,共12集
藍色管弦樂,共24集
關於我轉生變成史萊姆這檔事 第二季,共26集
魔法科高中的劣等生,共26集
競速 OVERTAKE!,共5集
SHY 靦腆英雄,共5集
關於我轉生變成史萊姆這檔事,共30集
青春豬頭少年不會夢到兔女郎學姊,共13集
家庭教師 HITMAN REBORN！,共203集
金裝的維爾梅～瀕臨留級的魔法師聯手最強災厄勇闖魔法世界～,共12集
聖者無雙～上班族的異世界生存之道～,共12集
我喜歡的女孩忘記戴眼鏡,共13集
柚木家的四兄弟,共4集
成為悲劇元兇的最強異端，最後頭目女王為了人民犧牲奉獻,共12集
獻祭公主與獸王,共24集
女朋友 and 女朋友,共12集
烈焰先鋒 救國的橘衣消防員,共5集
堀與宮村,共13集
戽斗星球,共3集
慕留人 - 火影新世代 -,共293集
我們的雨色協議,共4集
和山田談場 Lv999 的戀愛,共13集
盾之勇者成名錄 Season 2,共13集
進擊的巨人 The Final Season,共29集
LV1 魔王與獨居廢勇者,共12集
打工吧，魔王大人！第二季,共25集
間諜教室,共24集
Paradox Live THE ANIMATION,共4集
藍色監獄,共24集
86－不存在的戰區－,共26集
妙廟美少女,共12集
萬事屋齋藤先生轉生異世界,共12集
黑色五葉草,共170集
魔法使的新娘,共24集
鬼滅之刃 刀匠村篇,共11集
文豪野犬 第五季,共11集
物之古物奇譚,共24集
名偵探柯南 灰原哀物語～黑鐵的神祕列車～,共1集
英雄教室,共12集
躍動青春,共12集
寶可夢旅途,共132集
世界盡頭的聖騎士,共12集
刀劍神域 Sword Art Online,共25集
寶可夢 太陽＆月亮,共146集
甜點轉生,共12集
排球少年！！第四季 Part 2,共12集
機動戰士鋼彈 SEED HD 重製版,共48集
Dr.STONE 新石紀,共24集
排球少年！！第四季,共13集
謊言遊戲,共12集
進擊的巨人,共25集
BLEACH 死神 千年血戰篇,共13集
呆萌酷男孩,共24集
政宗君的復仇 R,共12集
我的英雄學院 第六季,共25集
銀砂糖師與黑妖精～sugar apple fairy tale～,共24集
肌肉魔法使-MASHLE-,共13集
滿懷美夢的少年是現實主義者,共12集
異世界悠閒農家,共12集
轉生貴族的異世界冒險錄～不知自重的眾神使徒～,共12集
文豪野犬 第四季,共13集
排球少年！！第三季,共10集
巨獸防衛企業 BULLBUSTER,共4集
進擊的巨人 第三季,共23集
我內心的糟糕念頭,共12集
在地下城尋求邂逅是否搞錯了什麼 第四季,共23集
東京復仇者,共25集
『催眠麥克風-Division Rap Battle-』Rhyme Anima +,共4集
無神世界的神明活動,共12集
天元突破 紅蓮螺巖,共27集
棋靈王,共75集
