學校代碼,學校名稱,日間∕進修別,等級別,總計,男生計,女生計,一年級男生,一年級女生,二年級男生,二年級女生,三年級男生,三年級女生,四年級男生,四年級女生,五年級男生,五年級女生,六年級男生,六年級女生,七年級男生,七年級女生,延修生男生,延修生女生,縣市名稱,體系別
1,國立政治大學,D 日,D 博士,922,530,392,78,63,88,67,81,66,72,61,70,50,66,45,75,40, -, -,30 臺北市,1 一般
1,國立政治大學,D 日,M 碩士,"4,203","1,907","2,296",663,823,611,733,352,441,279,297,2,2, -, -, -, -, -, -,30 臺北市,1 一般
1,國立政治大學,D 日,B 學士,"9,732","3,976","5,756",875,"1,388",927,"1,351",923,"1,273",915,"1,314", -, -, -, -, -, -,336,430,30 臺北市,1 一般
1,國立政治大學,N 職,M 碩士,"1,870",921,949,278,292,278,319,193,179,103,97,68,61,1,1, -, -, -, -,30 臺北市,1 一般
2,國立清華大學,D 日,D 博士,"1,669","1,169",500,227,97,215,102,178,72,185,67,139,67,94,41,131,54, -, -,18 新竹市,1 一般
2,國立清華大學,D 日,M 碩士,"5,859","3,551","2,308","1,430",848,"1,332",832,552,350,230,252,4,19,3,6, -,1, -, -,18 新竹市,1 一般
2,國立清華大學,D 日,B 學士,"9,118","4,957","4,161","1,248","1,072","1,249",968,"1,123","1,001","1,062",924, -, -, -, -, -, -,275,196,18 新竹市,1 一般
2,國立清華大學,D 日,X 4+X,1,1, -,1, -, -, -, -, -, -, -, -, -, -, -, -, -, -, -,18 新竹市,1 一般
2,國立清華大學,N 職,M 碩士,"1,387",511,876,184,286,201,247,57,134,31,109,26,54,1,12,11,34, -, -,18 新竹市,1 一般
3,國立臺灣大學,D 日,D 博士,"3,629","2,444","1,185",437,222,466,237,418,196,367,153,237,134,213,117,306,126, -, -,30 臺北市,1 一般
3,國立臺灣大學,D 日,M 碩士,"11,096","6,651","4,445","2,650","1,751","2,528","1,608",955,615,518,471, -, -, -, -, -, -, -, -,30 臺北市,1 一般
3,國立臺灣大學,D 日,B 學士,"17,074","9,514","7,560","2,155","1,734","2,224","1,729","2,023","1,689","2,035","1,617",202,128,170,94, -, -,705,569,30 臺北市,1 一般
3,國立臺灣大學,N 職,M 碩士,"1,623","1,003",620,316,222,344,221,183,98,59,41,49,24,52,14, -, -, -, -,30 臺北市,1 一般
4,國立臺灣師範大學,D 日,D 博士,"1,326",632,694,111,117,113,107,82,125,90,101,72,83,96,94,68,67, -, -,30 臺北市,3 師範
4,國立臺灣師範大學,D 日,M 碩士,"4,360","1,903","2,457",675,817,621,820,367,489,240,331, -, -, -, -, -, -, -, -,30 臺北市,3 師範
4,國立臺灣師範大學,D 日,B 學士,"8,394","3,810","4,584",921,"1,088",931,"1,091",841,"1,079",817,"1,019", -, -, -, -, -, -,300,307,30 臺北市,3 師範
4,國立臺灣師範大學,N 職,M 碩士,"2,182",650,"1,532",232,511,166,442,105,290,85,147,38,91,24,51, -, -, -, -,30 臺北市,3 師範
5,國立成功大學,D 日,D 博士,"1,857","1,231",626,233,116,220,124,218,110,206,102,148,65,104,58,102,51, -, -,21 臺南市,1 一般
5,國立成功大學,D 日,M 碩士,"7,425","4,776","2,649","2,046","1,114","2,023","1,071",494,301,203,148,10,13, -,2, -, -, -, -,21 臺南市,1 一般
5,國立成功大學,D 日,B 學士,"12,010","7,406","4,604","1,790","1,113","1,833","1,100","1,613","1,057","1,632","1,008",91,65,59,42, -, -,388,219,21 臺南市,1 一般
5,國立成功大學,N 職,M 碩士,"1,533",932,601,297,219,279,200,183,105,107,50,62,27,3, -,1, -, -, -,21 臺南市,1 一般
6,國立中興大學,D 日,D 博士,969,655,314,89,58,113,70,103,40,100,43,88,40,70,27,92,36, -, -,19 臺中市,1 一般
6,國立中興大學,D 日,M 碩士,"3,668","2,170","1,498",943,632,877,611,253,173,94,77,3,5, -, -, -, -, -, -,19 臺中市,1 一般
6,國立中興大學,D 日,B 學士,"8,201","4,643","3,558","1,108",877,"1,131",829,"1,106",844,"1,078",862,30,45, -, -, -, -,190,101,19 臺中市,1 一般
6,國立中興大學,N 職,M 碩士,"1,733","1,114",619,381,243,373,200,161,93,110,49,89,34, -, -, -, -, -, -,19 臺中市,1 一般
6,國立中興大學,P 進,B 學士,892,399,493,92,135,91,112,88,109,87,90,34,37, -, -, -, -,7,10,19 臺中市,1 一般
7,國立陽明交通大學,D 日,D 博士,"2,613","1,790",823,309,154,324,155,265,144,270,132,235,87,170,70,217,81, -, -,18 新竹市,1 一般
7,國立陽明交通大學,D 日,M 碩士,"7,617","4,791","2,826","1,804","1,169","1,785","1,048",924,428,276,173,1,7,1,1, -, -, -, -,18 新竹市,1 一般
7,國立陽明交通大學,D 日,B 學士,"8,605","5,489","3,116","1,197",709,"1,286",686,"1,228",698,"1,233",743,165,96,147,97,6,2,227,85,18 新竹市,1 一般
